"ID","Esame","Corso","Code"
"331","Servizi generali di impianto - gestione dei progetti industriali","06226","00034"
"332","Sicurezza e protezione ambientale dei processi chimici","06222","00019"
"333","Sicurezza informatica","06227","00034"
"334","Sistemi di elaborazione","06227","00004"
"335","Sistemi di gestione dell'energia elettrica","06126","00037"
"336","Sistemi di gestione dell'energia elettrica","06123","00044"
"337","Sistemi di misura in tempo reale","06224","00012"
"338","Sistemi di misura per l'industria 4.0","06126","00047"
"339","Sistemi di produzione e gestione della qualità","06126","00022"
"340","Sistemi di telecomunicazione","06127","00021"
"341","Sistemi embedded","06227","00026"
"342","Sistemi informatici industriali","06227","00035"
"343","Sistemi informativi","06127","00032"
"344","Sistemi integrati per l'energia sostenibile","06227","00040"
"345","Smart circuits for renewable energy","06223","00043"
"346","Smart house e smart grid","06224","00040"
"347","Software engineering","06227","00041"
"348","Software per sistemi distribuiti","06124","00055"
"349","Sostenibilità energetica ed ambientale","06225","00029"
"350","Sostenibilità energetica ed ambientale","06221","00041"
"351","Sperimentazione e controllo dei motori","06223","00017"
"352","Stabilità dei pendii","06225","00013"
"353","Stabilità dei pendii","06221","00023"
"354","Statica","06601","00019"
"355","Statistica applicata","06226","00047"
"356","Statistica applicata all'ingegneria","06125","00040"
"357","Statistica applicata all'ingegneria","06121","00040"
"358","Statistica e sicurezza dei sistemi produttivi","06126","00017"
"359","Statistica per l'ingegneria di processo","06122","00008"
"360","Storia dell'architettura I","06601","00004"
"361","Storia dell'architettura II","06601","00014"
"362","Strade, ferrovie e aeroporti I","06121","00037"
"363","Strade, ferrovie e aeroporti I","06125","00021"
"364","Strade, ferrovie e aeroporti II","06221","00009"
"365","Strade, ferrovie e aeroporti II","06601","00058"
"366","Strumentazione virtuale per l'automazione industriale","06224","00027"
"367","Strutture speciali","06225","00021"
"368","Strutture speciali","06221","00027"
"369","Strutture speciali e progetto di ponti","06221","00015"
"370","Tecnica del freddo","06223","00031"
"371","Tecnica delle costruzioni","06601","00027"
"372","Tecnica delle costruzioni I","06125","00014"
"373","Tecnica delle costruzioni I","06121","00013"
"374","Tecnica delle costruzioni II","06225","00007"
"375","Tecnica delle costruzioni II","06221","00002"
"376","Tecnica ed economia dei trasporti","06125","00017"
"377","Tecnica ed economia dei trasporti","06121","00036"
"378","Tecnica ed economia dell'energia elettrica","06223","00023"
"379","Tecnica ed economia dell'energia elettrica","06226","00016"
"380","Tecnica urbanistica","06601","00030"
"381","Tecniche di programmazione","06227","00001"
"382","Tecniche di realizzazione e caratterizzazione di strati sottili","06222","00029"
"383","Tecnologia dei materiali","06121","00011"
"384","Tecnologia dei materiali e chimica applicata","06601","00008"
"385","Tecnologia dei polimeri","06122","00037"
"386","Tecnologia delle particelle","06222","00025"
"387","Tecnologia meccanica","06123","00011"
"388","Tecnologie di chimica applicata","06122","00020"
"389","Tecnologie digitali","06127","00110"
"390","Tecnologie elettriche per l'informatica industriale","06127","00044"
"391","Tecnologie generali dei materiali","06123","00008"
"392","Tecnologie generali dei materiali","06126","00007"
"393","Tecnologie informatiche dei sistemi di controllo","06127","00018"
"394","Tecnologie software per il web","06127","00022"
"395","Tecnologie speciali di produzione","06223","00009"
"396","Tecnologie speciali di produzione","06226","00025"
"397","Telerilevamento","06227","00015"
"398","Teoria degli edifici in zona sismica","06601","00048"
"399","Teoria degli edifici in zona sismica","06221","00047"
"400","Teoria dei segnali","06127","00010"
"401","Teoria dei sistemi di trasporto","06221","00006"
"402","Teoria delle strutture","06221","00005"
"403","Teoria delle strutture","06601","00044"
"404","Teoria e tecnica delle telecomunicazioni","06127","00017"
"405","Termodinamica applicata e sistemi energetici","06126","00012"
"406","Termodinamica dell'ingegneria chimica","06122","00009"
"407","Termodinamica e trasmissione del calore","06123","00010"
"408","Tirocinio","06121","00026"
"409","Topografia","06125","00018"
"410","Topografia","06121","00034"
"411","Transport phenomena in food processes - fenomeni di trasporto nell'industria alimentare","06228","00020"
"412","Trasduttori per la bioinformatica e l'e-health","06227","00048"
"413","Trattamento acque e riutilizzo","06225","00034"
"414","Trattamento acque e riutilizzo","06221","00048"
"415","Tribologia","06223","00011"
"416","Unit operation in food processes - operazioni unitarie degli impianti alimentari","06228","00024"
"417","Unit operation of chemical engineering/impianti chimici","06122","00039"
"418","Urbanistica","06601","00024"
"419","Valutazione di impatto ambientale","06225","00028"
"420","Valutazione di impatto ambientale","06221","00038"
"421","Valutazione di impatto ambientale","06601","00057"
"422","Valutazione economica dei progetti","06225","00004"
"423","Valutazione economica dei progetti","06221","00021"
"424","Vibroacustica computazionale","06223","00033"
"425","Waste water treatment in process industries - trattamento effluenti","06228","00003"
